ENV,Year,Location,PLOT,BLOCK,Plot_ID,GENO,ID,Moisture_per,Protein_unadjusted,SAA_unadjusted,Dietary_Fiber_unadjusted,Total_Starch_unadjusted,Resistance_Starch_unadjusted,Protein_15per_DB_Moisture,SAA_15per_DB_Moisture,Dietary_Fiber_15per_DB_Moisture,Total_Starch_15per_DB_Moisture,Resistance_Starch_15per_DB_Moisture,Protein_digestibility_per
CLEM21,2021,CLEM,1045,1,PSP20CU1045,269818,SRR5350084,8.157492609,19.75,0.1106,22.93,55.6,5.88,18.57,0.1,21.57,52.3,5.53,85
CLEM21,2021,CLEM,1148,1,PSP20CU1148,222117,SRR5350127,7.774444719,18.9,0.2375,23.35,53.33,7.51,17.71,0.22,21.88,49.98,7.03,85
CLEM21,2021,CLEM,1266,1,PSP20CU1266,198735,SRR5350151,9.268445811,18.39,0.3128,23.93,55.9,7.19,17.47,0.3,22.74,53.11,6.83,85
CLEM21,2021,CLEM,1053,1,PSP20CU1053,274307,SRR5350065,6.859863715,18.76,0.1355,23.03,53.33,7.14,17.43,0.13,21.4,49.55,6.63,85
CLEM21,2021,CLEM,1162,1,PSP20CU1162,227258,SRR5350126,7.171245914,19.24,0.3205,22.16,51.16,6.74,17.93,0.3,20.65,47.67,6.28,85
CLEM21,2021,CLEM,2155,2,PSP20CU2155,220189,SRR5350130,7.4554428,20.49,0.2855,25.8,54.23,8.19,19.15,0.27,24.11,50.67,7.65,86
CLEM21,2021,CLEM,1051,1,PSP20CU1051,280616,SRR5350050,6.658312869,19.78,0.1232,24.65,52.98,6.66,18.35,0.11,22.86,49.14,6.18,86
CLEM21,2021,CLEM,1092,1,PSP20CU1092,195020,SRR5350158,7.519330592,19.86,0.2385,24.2,53.82,6.36,18.57,0.22,22.63,50.32,5.95,84
CLEM21,2021,CLEM,2193,2,PSP20CU2193,505062,SRR5349946,5.492890996,20.71,0.3293,23.92,50.31,7.87,19,0.3,21.94,46.15,7.22,84
CLEM21,2021,CLEM,1151,1,PSP20CU1151,12723,SRR5349861,7.878593089,20.28,0.1583,25.25,51.12,7.61,19.02,0.15,23.69,47.96,7.14,85
CLEM21,2021,CLEM,2253,2,PSP20CU2253,222071,SRR5350128,7.490407232,20.17,0.1739,24.04,52.59,7.86,18.85,0.16,22.47,49.15,7.35,85
CLEM21,2021,CLEM,1164,1,PSP20CU1164,505062,SRR5349946,6.961909718,19.64,0.2411,23.53,53.33,6.4,18.27,0.22,21.89,49.6,5.95,85
CLEM21,2021,CLEM,2172,2,PSP20CU2172,340128,SRR5350016,6.771435685,18.97,0.2939,21.36,55.9,7.56,17.61,0.27,19.83,51.9,7.02,84
CLEM21,2021,CLEM,2118,2,PSP20CU2118,285710,SRR5350046,6.226764446,18.99,0.2571,22.3,51.7,5.68,17.54,0.24,20.6,47.75,5.25,85
CLEM21,2021,CLEM,2015,2,PSP20CU2015,143485,SRR5350198,7.177059107,20.27,0.3253,24.02,52.99,4.55,18.89,0.3,22.39,49.39,4.24,85
CLEM21,2021,CLEM,2279,2,PSP20CU2279,203069,SRR5350146,5.261280776,21.42,0.2011,25.17,55.9,6.13,19.61,0.18,23.04,51.16,5.61,85
CLEM21,2021,CLEM,1143,1,PSP20CU1143,17293,SRR5349847,6.736352013,20.37,0.2642,25.71,54.23,5.33,18.91,0.25,23.86,50.33,4.95,86
CLEM21,2021,CLEM,2231,2,PSP20CU2231,274307,SRR5350065,8.191553868,19.26,0.1296,24.88,53.08,6.87,18.12,0.12,23.41,49.94,6.46,85
CLEM21,2021,CLEM,1200,1,PSP20CU1200,280617,SRR5350049,6.883696435,19.62,0.2187,24.78,55.25,7.99,18.24,0.2,23.03,51.35,7.42,85
CLEM21,2021,CLEM,2140,2,PSP20CU2140,195020,SRR5350158,8.756992867,21.57,0.3428,26.78,53.3,6.44,20.4,0.32,25.33,50.41,6.09,85
CLEM21,2021,CLEM,1293,1,PSP20CU1293,340128,SRR5350016,6.375674721,20.61,0.1503,24.95,53.47,7.45,19.06,0.14,23.08,49.46,6.89,86
CLEM21,2021,CLEM,1215,1,PSP20CU1215,143485,SRR5350198,5.177351731,18.52,0.3076,22.92,53.07,7.61,16.94,0.28,20.96,48.54,6.96,85
CLEM21,2021,CLEM,2212,2,PSP20CU2212,166159,SRR5350184,5.672765355,19.48,0.2436,23.24,50.23,9.69,17.9,0.22,21.36,46.16,8.91,85
CLEM21,2021,CLEM,2022,2,PSP20CU2022,175231,SRR5350179,6.995399744,20.47,0.2508,24.28,51.81,6.37,19.05,0.23,22.59,48.2,5.93,85
CLEM21,2021,CLEM,1064,1,PSP20CU1064,263871,SRR5350096,7.477640181,18.9,0.1809,22.41,54.83,6.26,17.66,0.17,20.94,51.25,5.85,84
CLEM21,2021,CLEM,1040,1,PSP20CU1040,261671,SRR5350101,9.066036439,21.17,0.1743,27.56,54.46,7.23,20.08,0.17,26.14,51.65,6.85,86
CLEM21,2021,CLEM,1248,1,PSP20CU1248,270536,SRR5350081,7.759611788,19.44,0.1367,23.43,53.07,7.95,18.22,0.13,21.95,49.73,7.45,84
CLEM21,2021,CLEM,1062,1,PSP20CU1062,499982,SRR5349948,8.888359526,21.43,0.2453,26.94,54.46,7.35,20.29,0.23,25.51,51.57,6.96,84
CLEM21,2021,CLEM,2130,2,PSP20CU2130,220174,SRR5350131,8.081733746,22.07,0.4586,26.78,54.99,6.66,20.74,0.43,25.17,51.68,6.26,85
CLEM21,2021,CLEM,2028,2,PSP20CU2028,269822,SRR5350083,7.883767336,19.67,0.1995,24.11,54.15,7.23,18.45,0.19,22.62,50.8,6.78,85
CLEM21,2021,CLEM,1244,1,PSP20CU1244,220174,SRR5350131,5.050398416,20.35,0.2155,24.1,52.44,7.99,18.59,0.2,22.01,47.91,7.3,85
CLEM21,2021,CLEM,1125,1,PSP20CU1125,280609,SRR5350054,6.348313235,18.37,0.2294,22.28,54.55,7.82,16.99,0.21,20.6,50.45,7.23,84
CLEM21,2021,CLEM,2261,2,PSP20CU2261,280617,SRR5350049,6.191993372,19.76,0.1925,22.4,53.73,8.67,18.25,0.18,20.68,49.61,8.01,85
CLEM21,2021,CLEM,2207,2,PSP20CU2207,343292,SRR5350014,6.887749205,18.78,0.2069,22.85,52.59,8.67,17.46,0.19,21.24,48.88,8.06,85
CLEM21,2021,CLEM,2085,2,PSP20CU2085,429849,SRR5349956,4.670556285,18.87,0.1893,19.73,53.85,6.81,17.18,0.17,17.96,49.01,6.2,84
CLEM21,2021,CLEM,2288,2,PSP20CU2288,269762,SRR5350093,7.076936397,18.71,0.2158,22.88,51.88,6.69,17.42,0.2,21.3,48.3,6.22,85
CLEM21,2021,CLEM,1057,1,PSP20CU1057,222071,SRR5350128,10.34383319,17.41,0.1978,23.51,54.15,7.23,16.71,0.19,22.56,51.96,6.93,84
CLEM21,2021,CLEM,2217,2,PSP20CU2217,272184,SRR5350072,7.179632699,20.25,0.1928,26.42,52.05,7.99,18.87,0.18,24.62,48.51,7.44,86
CLEM21,2021,CLEM,2183,2,PSP20CU2183,409031,SRR5349968,6.956416207,19.43,0.261,22.81,54.55,7.82,18.07,0.24,21.21,50.74,7.28,85
CLEM21,2021,CLEM,1124,1,PSP20CU1124,324697,SRR5350023,7.046943426,20.32,0.2063,23.04,51.88,8.67,18.91,0.19,21.45,48.29,8.07,85
CLEM21,2021,CLEM,2064,2,PSP20CU2064,270536,SRR5350081,6.401616778,19.37,0.2487,23.12,54.46,8.67,17.92,0.23,21.39,50.39,8.03,84
CLEM21,2021,CLEM,1227,1,PSP20CU1227,165949,SRR5350186,5.900315851,19.76,0.2734,23.98,54.86,6.81,18.2,0.25,22.08,50.52,6.27,85
CLEM21,2021,CLEM,2126,2,PSP20CU2126,174921,SRR5350180,7.85745673,18.32,0.2091,20.26,54.27,6.69,17.18,0.2,19,50.9,6.27,84
RAWL20,2020,RAWL,4076,1,RS20PSP4076,166159,SRR5350184,7.36581538,18.91,0.2312,20.67,53.73,7.27,17.65,0.22,19.3,50.16,6.79,84
CLEM21,2021,CLEM,2086,2,PSP20CU2086,307666,SRR5350030,6.008415209,19.2,0.202,22.21,49.52,7.41,17.7,0.19,20.47,45.65,6.83,84
RAWL20,2020,RAWL,5023,2,RS20PSP5023,195020,SRR5350158,6.235072006,19.88,0.2261,23.81,52.44,7.82,18.36,0.21,22,48.45,7.23,85
CLEM21,2021,CLEM,1131,1,PSP20CU1131,269761,SRR5350094,7.220447193,19.85,0.4449,22.48,54.46,6.58,18.51,0.41,20.96,50.78,6.14,84
CLEM21,2021,CLEM,1254,1,PSP20CU1254,166159,SRR5350184,7.04245122,19.64,0.1523,22.2,53.85,7.12,18.28,0.14,20.66,50.12,6.63,84
RAWL20,2020,RAWL,4185,1,RS20PSP4185,203069,SRR5350146,9.468595326,19.6,0.1702,25.57,52.67,6.67,18.66,0.16,24.34,50.14,6.35,85
CLEM21,2021,CLEM,1177,1,PSP20CU1177,505144,SRR5349941,5.673541304,19.42,0.2463,23.17,48.66,6.79,17.85,0.23,21.29,44.71,6.24,84
RAWL20,2020,RAWL,5070,2,RS20PSP5070,250446,SRR5350111,7.162460345,20.08,0.1852,24.61,54.99,7.82,18.71,0.17,22.93,51.24,7.29,85
CLEM21,2021,CLEM,2163,2,PSP20CU2163,227258,SRR5350126,6.63558746,19.35,0.3786,23.91,55.55,7.12,17.94,0.35,22.17,51.51,6.6,85
RAWL20,2020,RAWL,4239,1,RS20PSP4239,356992,SRR5349984,6.119236329,19.55,0.2336,22.75,53.57,7.6,18.04,0.22,20.99,49.43,7.01,84
CLEM21,2021,CLEM,1258,1,PSP20CU1258,263031,NA,7.127753499,19.22,0.1837,23.18,54.86,7.82,17.9,0.17,21.59,51.1,7.28,84
CLEM21,2021,CLEM,2199,2,PSP20CU2199,280616,SRR5350050,6.625060033,19.68,0.4409,23.06,55.71,7.82,18.25,0.41,21.38,51.65,7.25,84
CLEM21,2021,CLEM,2272,2,PSP20CU2272,280609,SRR5350054,7.161047604,20.24,0.1872,25.01,50.41,8.13,18.86,0.17,23.31,46.97,7.57,85
CLEM21,2021,CLEM,1068,1,PSP20CU1068,269804,SRR5350086,5.922375196,20.63,0.1994,25.21,53.08,7.36,19,0.18,23.22,48.89,6.78,85
CLEM21,2021,CLEM,2277,2,PSP20CU2277,274308,SRR5350064,7.202954943,20.05,0.2086,26.24,50.01,5.91,18.69,0.19,24.46,46.62,5.51,85
CLEM21,2021,CLEM,1157,1,PSP20CU1157,429849,SRR5349956,6.661400028,18.26,0.1783,22.22,47.7,7.6,16.94,0.17,20.61,44.25,7.04,84
RAWL20,2020,RAWL,6118,3,RS20PSP6118,269762,SRR5350093,6.78029247,18.74,0.2443,24.5,47.6,7.79,17.4,0.23,22.75,44.19,7.24,84
RAWL20,2020,RAWL,6003,3,RS20PSP6003,340128,SRR5350016,4.631372028,18.61,0.2274,22.77,56.36,7.56,16.93,0.21,20.72,51.28,6.88,84
RAWL20,2020,RAWL,4098,1,RS20PSP4098,222071,SRR5350128,3.890393702,19.1,0.1994,23.39,55.25,6.58,17.25,0.18,21.13,49.91,5.95,85
CLEM21,2021,CLEM,2107,2,PSP20CU2107,499982,SRR5349948,6.716245839,18.23,0.2658,22.02,55,7.29,16.92,0.25,20.43,51.04,6.77,85
CLEM21,2021,CLEM,2218,2,PSP20CU2218,250446,SRR5350111,5.738571524,19.76,0.1601,23.59,51.38,6.03,18.17,0.15,21.69,47.25,5.54,85
CLEM21,2021,CLEM,2274,2,PSP20CU2274,263031,NA,6.070140664,20.45,0.171,25.22,50.19,6.03,18.86,0.16,23.26,46.3,5.56,85
RAWL20,2020,RAWL,4054,1,RS20PSP4054,429849,SRR5349956,8.132370534,20.47,0.2297,24.66,58.46,7.51,19.25,0.22,23.19,54.97,7.06,85
CLEM21,2021,CLEM,1091,1,PSP20CU1091,280626,SRR5350047,7.687669346,21.49,0.2009,26.31,53.16,7.56,20.12,0.19,24.64,49.78,7.08,85
CLEM21,2021,CLEM,2256,2,PSP20CU2256,198735,SRR5350151,4.4442033,21.07,0.1961,24.32,53.3,7.49,19.14,0.18,22.09,48.41,6.8,86
RAWL20,2020,RAWL,4080,1,RS20PSP4080,499982,SRR5349948,5.418269482,21.2,0.2082,26.03,49.43,7.93,19.43,0.19,23.86,45.31,7.27,85
CLEM21,2021,CLEM,2119,2,PSP20CU2119,263871,SRR5350096,6.490168759,21.03,0.4546,25.53,52.72,6.42,19.47,0.42,23.64,48.81,5.95,85
RAWL20,2020,RAWL,6154,3,RS20PSP6154,280616,SRR5350050,7.021193062,21.45,0.2768,24.43,61.46,6.42,19.96,0.26,22.74,57.2,5.97,85
RAWL20,2020,RAWL,5157,2,RS20PSP5157,324702,SRR5350021,6.408356528,19.79,0.258,23.31,59.46,8.1,18.31,0.24,21.57,55.02,7.49,85
CLEM21,2021,CLEM,1279,1,PSP20CU1279,285710,SRR5350046,7.617137182,20.88,0.1918,27.95,53.57,6.67,19.54,0.18,26.16,50.13,6.24,86
CLEM21,2021,CLEM,1265,1,PSP20CU1265,272148,SRR5350075,7.656096367,21.37,0.2682,26.77,50.19,5.3,20.01,0.25,25.06,46.99,4.96,85
RAWL20,2020,RAWL,4089,1,RS20PSP4089,244175,SRR5350120,5.600961219,19.41,0.2176,24.56,53.47,6.77,17.82,0.2,22.55,49.1,6.22,85
RAWL20,2020,RAWL,6151,3,RS20PSP6151,175231,SRR5350179,5.084182663,18.82,0.2405,22.01,54.63,7.41,17.2,0.22,20.11,49.92,6.77,84
RAWL20,2020,RAWL,4042,1,RS20PSP4042,280616,SRR5350050,7.609753264,20.42,0.2311,26.01,48.37,6.61,19.11,0.22,24.34,45.27,6.18,86
CLEM21,2021,CLEM,1225,1,PSP20CU1225,15028,SRR5349854,7.152184943,19.2,0.1763,23.82,53.62,6.51,17.89,0.16,22.19,49.96,6.06,85
RAWL20,2020,RAWL,5158,2,RS20PSP5158,324697,SRR5350023,5.370517175,18.34,0.2213,22.28,58.96,7.46,16.8,0.2,20.41,54.02,6.83,84
RAWL20,2020,RAWL,5031,2,RS20PSP5031,356992,SRR5349984,7.025658913,19.75,0.2353,23.31,58.03,7.46,18.38,0.22,21.69,54.01,6.94,85
RAWL20,2020,RAWL,6060,3,RS20PSP6060,174921,SRR5350180,5.952611838,20.57,0.2335,24.92,55.75,7.41,18.95,0.22,22.96,51.37,6.83,85
CLEM21,2021,CLEM,2074,2,PSP20CU2074,324702,SRR5350021,6.321382607,19.01,0.2928,24.36,52.97,7.88,17.58,0.27,22.52,48.98,7.28,85
RAWL20,2020,RAWL,5033,2,RS20PSP5033,269777,SRR5350092,10.91238981,20.71,0.2479,23.56,54.37,7.88,19.97,0.24,22.72,52.44,7.6,85
RAWL20,2020,RAWL,5247,2,RS20PSP5247,198735,SRR5350151,9.280180743,19.19,0.2607,23.41,53.33,6.81,18.24,0.25,22.25,50.67,6.47,85
RAWL20,2020,RAWL,5284,2,RS20PSP5284,272171,SRR5350074,8.206165518,19.44,0.2444,22.93,53.33,7.02,18.29,0.23,21.58,50.18,6.6,84
RAWL20,2020,RAWL,4038,1,RS20PSP4038,242027,SRR5350123,7.990510038,19.68,0.2179,23.3,56.15,7.02,18.48,0.2,21.88,52.72,6.59,84
RAWL20,2020,RAWL,5238,2,RS20PSP5238,12723,SRR5349861,7.252714467,18.64,0.2436,21.84,57.58,7.81,17.38,0.23,20.37,53.7,7.29,84
CLEM21,2021,CLEM,2100,2,PSP20CU2100,222117,SRR5350127,6.626614469,18.44,0.2662,21.42,55.87,5.66,17.1,0.25,19.86,51.81,5.24,84
CLEM21,2021,CLEM,1197,1,PSP20CU1197,324702,SRR5350021,9.335620562,19.49,0.4308,23.85,49.33,7.2,18.53,0.41,22.68,46.9,6.85,85
CLEM21,2021,CLEM,1273,1,PSP20CU1273,174921,SRR5350180,8.123795994,19.87,0.2412,23.66,54.84,6.07,18.68,0.23,22.25,51.56,5.71,85
CLEM21,2021,CLEM,1295,1,PSP20CU1295,242027,SRR5350123,7.626163303,18.54,0.1487,24.26,54.99,5.86,17.35,0.14,22.7,51.46,5.48,85
RAWL20,2020,RAWL,4262,1,RS20PSP4262,340128,SRR5350016,8.830290361,19.68,0.2497,25.24,50.19,8.02,18.62,0.24,23.89,47.49,7.59,85
CLEM21,2021,CLEM,2160,2,PSP20CU2160,306591,SRR5350031,5.296499743,21.17,0.2537,25.64,50.19,8.02,19.38,0.23,23.48,45.95,7.35,84
CLEM21,2021,CLEM,1107,1,PSP20CU1107,285740,SRR5350038,7.631508516,19.86,0.1393,24.36,48.35,6.24,18.59,0.13,22.8,45.25,5.84,85
RAWL20,2020,RAWL,4084,1,RS20PSP4084,272148,SRR5350075,5.231386147,20.09,0.223,25.62,50.09,6.4,18.38,0.2,23.44,45.83,5.85,86
RAWL20,2020,RAWL,4261,1,RS20PSP4261,269777,SRR5350092,6.761052969,18.85,0.2399,25.21,51.06,6.22,17.5,0.22,23.4,47.41,5.77,85
CLEM21,2021,CLEM,2186,2,PSP20CU2186,15028,SRR5349854,6.531920764,19.57,0.2989,24.21,51.84,5.59,18.13,0.28,22.43,48.02,5.18,85
RAWL20,2020,RAWL,4010,1,RS20PSP4010,285710,SRR5350046,7.084999718,18.95,0.2576,21.82,51.84,8.23,17.65,0.24,20.32,48.27,7.67,84
RAWL20,2020,RAWL,5093,2,RS20PSP5093,343292,SRR5350014,5.331523242,18.77,0.2756,22.51,49.82,7.05,17.19,0.25,20.62,45.63,6.46,85
RAWL20,2020,RAWL,6110,3,RS20PSP6110,285710,SRR5350046,8.161510931,20.28,0.2469,26.77,52.44,6.63,19.07,0.23,25.18,49.32,6.24,85
RAWL20,2020,RAWL,6023,3,RS20PSP6023,272171,SRR5350074,5.998519803,20.38,0.2278,22.78,49.26,6.63,18.78,0.21,21,45.4,6.11,85
RAWL20,2020,RAWL,5289,2,RS20PSP5289,269818,SRR5350084,6.342534463,19.08,0.2559,24.28,49.71,7.86,17.64,0.24,22.45,45.96,7.27,86
RAWL20,2020,RAWL,5236,2,RS20PSP5236,272148,SRR5350075,5.069157185,18.63,0.2347,22.37,51.94,7.27,17.02,0.21,20.44,47.45,6.64,84
CLEM21,2021,CLEM,1095,1,PSP20CU1095,275821,SRR5350062,5.997121462,19.1,0.2064,22.61,49.82,5.66,17.6,0.19,20.84,45.92,5.22,84
RAWL20,2020,RAWL,5063,2,RS20PSP5063,272184,SRR5350072,4.744819862,19.91,0.2243,23.99,51.03,7.47,18.13,0.2,21.85,46.48,6.81,85
CLEM21,2021,CLEM,2229,2,PSP20CU2229,275821,SRR5350062,6.74079467,19.22,0.2413,24.62,51.82,6.82,17.84,0.22,22.85,48.1,6.33,85
RAWL20,2020,RAWL,4178,1,RS20PSP4178,263031,NA,6.254508929,19.11,0.2028,21.33,53.73,6.82,17.66,0.19,19.71,49.64,6.3,84
CLEM21,2021,CLEM,1160,1,PSP20CU1160,166084,SRR5350185,6.495480005,19.58,0.215,24.52,56.6,6.73,18.13,0.2,22.71,52.41,6.24,86
RAWL20,2020,RAWL,6079,3,RS20PSP6079,499982,SRR5349948,8.739673551,19.44,0.202,23.29,49.26,7.05,18.38,0.19,22.02,46.58,6.67,85
RAWL20,2020,RAWL,4271,1,RS20PSP4271,198735,SRR5350151,4.737503517,19.7,0.2457,22.59,49.26,7.05,17.94,0.22,20.57,44.86,6.42,84
RAWL20,2020,RAWL,5282,2,RS20PSP5282,499982,SRR5349948,5.237202557,21.08,0.2254,25.38,52.44,5.3,19.29,0.21,23.23,47.99,4.85,85
CLEM21,2021,CLEM,1181,1,PSP20CU1181,306591,SRR5350031,7.457885762,20.28,0.2415,25.74,57.13,6.61,18.95,0.23,24.05,53.38,6.18,85
RAWL20,2020,RAWL,4144,1,RS20PSP4144,347490,SRR5349992,5.447991263,20.01,0.2188,23.91,51.12,8.23,18.35,0.2,21.92,46.88,7.55,85
RAWL20,2020,RAWL,6021,3,RS20PSP6021,505062,SRR5349946,5.747513733,19.45,0.2376,23.76,50.95,7.41,17.89,0.22,21.85,46.85,6.82,85
